,assets,income,expenses,irs_form
186,,,,https://www.guidestar.org/FinDocuments/2016/260/317/2016-260317197-0edbbe71-Z.pdf
187,"$38,136 ",,,https://www.guidestar.org/FinDocuments/2016/273/289/2016-273289343-0e45a172-9.pdf
188,"$278,523 ",,,https://www.guidestar.org/FinDocuments/2016/391/481/2016-391481425-0e98ce00-9.pdf
189,,,,
190,,,,
191,"$205,758 ",,,https://www.guidestar.org/FinDocuments/2016/840/929/2016-840929762-0e50a09a-Z.pdf
192,,,,
193,,,,
194,,,,
195,,,,
196,"$453,303 ",,,https://www.guidestar.org/FinDocuments/2016/261/167/2016-261167243-0e535c1b-F.pdf
197,"$131,699 ",,,https://www.guidestar.org/FinDocuments/2016/237/120/2016-237120543-0e98635b-Z.pdf
198,"$30,412 ",,,https://www.guidestar.org/FinDocuments/2017/742/213/2017-742213764-0f18fbea-Z.pdf
199,"$675,868 ",,"$862,258 ",https://www.guidestar.org/FinDocuments/2016/540/805/2016-540805170-0e1cc290-9O.pdf
200,"$119,561 ",,"$208,493 ",https://www.guidestar.org/FinDocuments/2017/841/175/2017-841175937-0eae8e6e-9.pdf
201,,,,
202,"$1,464,578 ",,"$861,093 ",https://www.guidestar.org/FinDocuments/2016/742/558/2016-742558199-0cc92659-9.pdf
203,,,,https://www.guidestar.org/FinDocuments/2001/840/437/2001-840437336-1-Z.pdf
204,,,,
205,,,,
206,"$150,570 ",,"$106,863 ",
207,"$34,562,765 ",,"$7,507,635 ",https://www.guidestar.org/FinDocuments/2016/841/322/2016-841322996-0e9bf36d-9.pdf
208,,,,https://www.guidestar.org/FinDocuments/2009/271/184/2009-271184703-06176a06-Z.pdf
209,,,,
210,,,,
211,"$19,974 ",,"$29,046 ",https://www.guidestar.org/FinDocuments/2016/451/956/2016-451956799-0e298e97-Z.pdf
212,,,,
213,,,,
214,"$1,036,843 ",,"$1,163,559 ",https://www.guidestar.org/FinDocuments/2017/840/595/2017-840595473-0edba648-9O.pdf
215,,,,
216,,,,
217,"$105,697 ",,"$82,122 ",https://www.guidestar.org/FinDocuments/2017/464/144/2017-464144626-0f5456d4-Z.pdf
218,,,,
219,,,,https://www.guidestar.org/FinDocuments/2013/273/092/2013-273092740-0a957403-Z.pdf
220,,,,https://www.guidestar.org/FinDocuments/2015/464/735/2015-464735539-0c9fd528-Z.pdf
221,"$14,054 ",,"$24,397 ",https://www.guidestar.org/FinDocuments/2016/473/428/2016-473428968-0ec6d278-Z.pdf
222,,,,
223,"$926,220,200 ",,"$44,987,938 ",https://www.guidestar.org/FinDocuments/2016/840/500/2016-840500890-0ea1cf62-9O.pdf
224,,,,
225,"$210,085 ",,"$6,805 ",https://www.guidestar.org/FinDocuments/2016/841/274/2016-841274483-0dd4037a-F.pdf
226,,,,
227,,,,
228,"$197,357 ",,"$370,533 ",https://www.guidestar.org/FinDocuments/2017/841/474/2017-841474694-0ded420c-9.pdf
229,"$157,862,792 ",,"$24,089,465 ",https://www.guidestar.org/FinDocuments/2017/840/503/2017-840503809-0ec5c746-9.pdf
230,,,,
231,,,,
232,"$140,044 ",,,http://www.guidestar.org/FinDocuments/2016/841/605/2016-841605606-0e5c195d-Z.pdf
233,"$83,503 ",,,https://www.guidestar.org/FinDocuments/2017/841/542/2017-841542618-0ecda5a6-Z.pdf
234,,,,https://www.guidestar.org/FinDocuments/2004/810/573/2004-810573919-01a01de5-Z.pdf
235,"$23,898,496 ",,,https://www.guidestar.org/FinDocuments/2016/840/526/2016-840526484-0e47041a-9.pdf
236,"$413,327 ",,,https://www.guidestar.org/FinDocuments/2016/742/442/2016-742442944-0e46f40b-9.pdf
237,"$3,092,796 ",,,https://www.guidestar.org/FinDocuments/2017/846/024/2017-846024048-0ee676a3-9.pdf
238,"$55,665 ","$150,000 ","$146,228 ",https://www.guidestar.org/FinDocuments/2017/275/464/2017-275464366-0f54f5e9-Z.pdf
239,"$14,165 ","$58,905 ","$51,638 ",https://www.guidestar.org/FinDocuments/2012/271/148/2012-271148940-09a3cce6-Z.pdf
240,"$121,930 ","$463,265 ","$419,029 ",https://www.guidestar.org/FinDocuments/2017/208/613/2017-208613113-0ee3594a-9.pdf
241,"$48,879 ","$5,592 ",,https://www.guidestar.org/FinDocuments/2017/841/473/2017-841473179-0eeeb574-Z.pdf
242,"$104,547 ","$127,678 ",,https://www.guidestar.org/FinDocuments/2016/263/663/2016-263663486-0e3d18c5-Z.pdf
243,"$20,354 ",,,https://www.guidestar.org/FinDocuments/2017/841/406/2017-841406282-0f1ac89b-Z.pdf
244,"$3,592,362 ","$522,267 ",,https://www.guidestar.org/FinDocuments/2016/841/455/2016-841455089-0e3040b2-9.pdf
245,"$4,183 ","$122,184 ",,https://www.guidestar.org/FinDocuments/2016/261/358/2016-261358750-0e5d46fb-Z.pdf
246,"$457,387 ","$693,690 ",,https://www.guidestar.org/FinDocuments/2016/840/764/2016-840764634-0e59d0b2-9.pdf
247,"$460,049 ","$980,628 ","$949,749 ",https://www.guidestar.org/FinDocuments/2017/846/037/2017-846037740-0ef6f91a-9.pdf
248,"$4,985,713 ","$533,256 ",,https://www.guidestar.org/FinDocuments/2016/237/408/2016-237408456-0eaf5834-9.pdf
249,"$26,903 ","$117,921 ",,https://www.guidestar.org/FinDocuments/2017/954/831/2017-954831513-0efd3468-Z.pdf
250,"$216,689 ","$455,238 ",,http://www.guidestar.org/FinDocuments/2017/464/099/2017-464099034-0e996725-9.pdf
251,,,,
252,"$548,995 ","$56,864 ",,https://www.guidestar.org/FinDocuments/2017/841/174/2017-841174550-0eeb552f-F.pdf
253,,,,
254,"$33,142 ","$91,250 ",,https://www.guidestar.org/FinDocuments/2017/475/669/2017-475669164-0f4ecb85-Z.pdf
255,$200 ,"$1,000 ",,https://www.guidestar.org/FinDocuments/2016/841/525/2016-841525821-0dcab7a4-F.pdf
256,,,,
257,"$40,248 ","$49,821 ",,https://www.guidestar.org/FinDocuments/2016/260/373/2016-260373539-0e31beb0-Z.pdf
258,"$9,019,984 ","$5,453,207 ",,http://www.guidestar.org/FinDocuments/2017/840/447/2017-840447931-0f5a7012-9.pdf
259,"$5,656 ",,,https://www.guidestar.org/FinDocuments/2009/205/005/2009-205005787-06537ab6-Z.pdf
260,,,,
261,"$1,443,659 ","$2,407,926 ",,https://www.guidestar.org/FinDocuments/2016/840/735/2016-840735716-0e1275a0-9.pdf
262,,,,
263,"$198,102 ","$1,834,290 ",,https://www.guidestar.org/FinDocuments/2016/270/035/2016-270035894-0df9e6b1-9.pdf
264,"$9,465,500 ","$1,245,393 ","$1,299,316 ",https://www.guidestar.org/FinDocuments/2016/841/149/2016-841149609-0d9de945-9.pdf
265,,,,
266,"$6,098,326 ","$1,675,318 ",,https://www.guidestar.org/FinDocuments/2016/202/417/2016-202417344-0eac38c6-9.pdf
267,"$74,068 ","$276,289 ",,https://www.guidestar.org/FinDocuments/2017/953/498/2017-953498639-0efb13fc-9.pdf
268,"$27,284 ",$414 ,,https://www.guidestar.org/FinDocuments/2015/841/186/2015-841186319-0d41b8f0-F.pdf
269,,,,
270,,,,
271,,,,
272,"$98,004 ","$282,853 ","$141,638 ",https://www.guidestar.org/FinDocuments/2017/202/666/2017-202666932-0e84265f-9.pdf
273,"$68,315 ","$136,364 ",,https://www.guidestar.org/FinDocuments/2017/813/207/2017-813207443-0f1adc07-Z.pdf
274,,,,
275,"$729,971 ","$560,209 ","$536,563 ",https://www.guidestar.org/FinDocuments/2017/208/666/2017-208666751-0f5ae0fa-9.pdf
276,,,,https://www.guidestar.org/FinDocuments/2011/840/784/2011-840784014-0915b28d-ZO.pdf
277,"$11,033 ","$56,395 ",,https://www.guidestar.org/FinDocuments/2016/260/139/2016-260139992-0ec18b7e-F.pdf
278,,,,
279,"$631,753 ","$808,345 ","$729,802 ",https://www.guidestar.org/FinDocuments/2016/202/863/2016-202863499-0e512dea-9.pdf
280,"$52,787 ","$137,658 ",,https://www.guidestar.org/FinDocuments/2017/461/653/2017-461653799-0f5f97bc-Z.pdf
281,"$55,091 ","$375,766 ","$359,252 ",https://www.guidestar.org/FinDocuments/2016/263/124/2016-263124442-0e17f896-9.pdf
282,,,,
283,,,,
284,"$26,445 ","$81,047 ",,https://www.guidestar.org/FinDocuments/2017/462/100/2017-462100766-0f5d1d10-Z.pdf
285,"$1,470 ","$10,617 ",,https://www.guidestar.org/FinDocuments/2016/841/311/2016-841311338-0d78cbb3-Z.pdf
286,"$55,815 ","$240,000 ",,https://www.guidestar.org/FinDocuments/2016/311/765/2016-311765424-0e06fed7-F.pdf
287,,,,
288,,,,
289,"$13,470 ",,,
290,"$109,819 ",,,https://www.guidestar.org/FinDocuments/2016/800/056/2016-800056576-0df5c114-Z.pdf
291,,,,https://www.guidestar.org/FinDocuments/2017/841/495/2017-841495904-0f023284-9.pdf
292,"$142,637 ",,,
293,"$103,123 ","$193,252 ","$196,279 ",https://www.guidestar.org/FinDocuments/2017/461/712/2017-461712301-0dd1ec15-9.pdf
294,,,,
295,"$512,124 ","$556,358 ",,https://www.guidestar.org/FinDocuments/2016/840/594/2016-840594180-0e24871e-9.pdf
296,,,,https://www.guidestar.org/FinDocuments/2016/043/002/2016-043002588-0e6a4891-Z.pdf
297,"$19,408,131 ","$31,047,659 ","$29,826,967 ",https://www.guidestar.org/FinDocuments/2016/840/520/2016-840520493-0e115f5d-9.pdf
298,,,,https://www.guidestar.org/FinDocuments/2017/841/232/2017-841232001-0ef49eff-F.pdf
299,"$28,536 ",,,https://www.guidestar.org/FinDocuments/2016/841/310/2016-841310801-0e0fb994-Z.pdf
300,,,,https://www.guidestar.org/FinDocuments/2017/841/029/2017-841029228-0ef45713-9.pdf
301,,,,https://www.guidestar.org/FinDocuments/2016/840/611/2016-840611428-0ed0aba3-9.pdf
302,"$41,386,626 ","$12,723,796 ","$13,582,405 ",https://www.guidestar.org/FinDocuments/2017/840/611/2017-840611876-0ef71459-9.pdf
303,,,,
304,"$160,404 ","$128,714 ","$174,633 ",https://www.guidestar.org/FinDocuments/2016/204/850/2016-204850478-0e43852a-9O.pdf
305,"$595,296 ","$741,745 ","$861,910 ",https://www.guidestar.org/FinDocuments/2014/453/325/2014-453325529-0bd9d4a5-9.pdf
306,,,,
307,,,,
308,,,,
309,$479 ,"$11,810 ","$69,853 ",https://www.guidestar.org/FinDocuments/2016/813/803/2016-813803666-0e933281-9.pdf
310,"$34,824 ","$98,443 ","$87,584 ",https://www.guidestar.org/FinDocuments/2017/841/359/2017-841359539-0efea48c-Z.pdf
